4
0 1 2
0 1
(0 0 0)
(0 1 1)
(1 0 0)
(1 1 2)
(2 0 0)
(2 1 3)
(3 0 3)
(3 1 3)

1
000
111000
000111
011010
1010101110
10101
00110110110
111
%%
9
6 7 8
a A b B c C d D e E f F g G h H i I j J k K l L m M n N o O p P q Q r R s S t T u U v V w W x X y Y z Z 0 1 2 3 4 5 6 7 8 9 . _ - @
(0 0 1)
(0 1 1)
(0 2 1)
(0 3 1)
(0 4 1)
(0 5 1)
(0 6 1)
(0 7 1)
(0 8 1)
(0 9 1)
(0 10 1)
(0 11 1)
(0 12 1)
(0 13 1)
(0 14 1)
(0 15 1)
(0 16 1)
(0 17 1)
(0 18 1)
(0 19 1)
(0 20 1)
(0 21 1)
(0 22 1)
(0 23 1)
(0 24 1)
(0 25 1)
(0 26 1)
(0 27 1)
(0 28 1)
(0 29 1)
(0 30 1)
(0 31 1)
(0 32 1)
(0 33 1)
(0 34 1)
(0 35 1)
(0 36 1)
(0 37 1)
(0 38 1)
(0 39 1)
(0 40 1)
(0 41 1)
(0 42 1)
(0 43 1)
(0 44 1)
(0 45 1)
(0 46 1)
(0 47 1)
(0 48 1)
(0 49 1)
(0 50 1)
(0 51 1)
(0 52 1)
(0 53 1)
(0 54 1)
(0 55 1)
(0 56 1)
(0 57 1)
(0 58 1)
(0 59 1)
(0 60 1)
(0 61 1)
(0 62 1)
(0 63 1)
(0 64 1)
(0 65 9)
(1 0 1)
(1 1 1)
(1 2 1)
(1 3 1)
(1 4 1)
(1 5 1)
(1 6 1)
(1 7 1)
(1 8 1)
(1 9 1)
(1 10 1)
(1 11 1)
(1 12 1)
(1 13 1)
(1 14 1)
(1 15 1)
(1 16 1)
(1 17 1)
(1 18 1)
(1 19 1)
(1 20 1)
(1 21 1)
(1 22 1)
(1 23 1)
(1 24 1)
(1 25 1)
(1 26 1)
(1 27 1)
(1 28 1)
(1 29 1)
(1 30 1)
(1 31 1)
(1 32 1)
(1 33 1)
(1 34 1)
(1 35 1)
(1 36 1)
(1 37 1)
(1 38 1)
(1 39 1)
(1 40 1)
(1 41 1)
(1 42 1)
(1 43 1)
(1 44 1)
(1 45 1)
(1 46 1)
(1 47 1)
(1 48 1)
(1 49 1)
(1 50 1)
(1 51 1)
(1 52 1)
(1 53 1)
(1 54 1)
(1 55 1)
(1 56 1)
(1 57 1)
(1 58 1)
(1 59 1)
(1 60 1)
(1 61 1)
(1 62 1)
(1 63 1)
(1 64 1)
(1 65 2)
(2 0 3)
(2 1 3)
(2 2 3)
(2 3 3)
(2 4 3)
(2 5 3)
(2 6 3)
(2 7 3)
(2 8 3)
(2 9 3)
(2 10 3)
(2 11 3)
(2 12 3)
(2 13 3)
(2 14 3)
(2 15 3)
(2 16 3)
(2 17 3)
(2 18 3)
(2 19 3)
(2 20 3)
(2 21 3)
(2 22 3)
(2 23 3)
(2 24 3)
(2 25 3)
(2 26 3)
(2 27 3)
(2 28 3)
(2 29 3)
(2 30 3)
(2 31 3)
(2 32 3)
(2 33 3)
(2 34 3)
(2 35 3)
(2 36 3)
(2 37 3)
(2 38 3)
(2 39 3)
(2 40 3)
(2 41 3)
(2 42 3)
(2 43 3)
(2 44 3)
(2 45 3)
(2 46 3)
(2 47 3)
(2 48 3)
(2 49 3)
(2 50 3)
(2 51 3)
(2 52 3)
(2 53 3)
(2 54 3)
(2 55 3)
(2 56 3)
(2 57 3)
(2 58 3)
(2 59 3)
(2 60 3)
(2 61 3)
(2 62 9)
(2 63 3)
(2 64 3)
(2 65 9)
(3 0 3)
(3 1 3)
(3 2 3)
(3 3 3)
(3 4 3)
(3 5 3)
(3 6 3)
(3 7 3)
(3 8 3)
(3 9 3)
(3 10 3)
(3 11 3)
(3 12 3)
(3 13 3)
(3 14 3)
(3 15 3)
(3 16 3)
(3 17 3)
(3 18 3)
(3 19 3)
(3 20 3)
(3 21 3)
(3 22 3)
(3 23 3)
(3 24 3)
(3 25 3)
(3 26 3)
(3 27 3)
(3 28 3)
(3 29 3)
(3 30 3)
(3 31 3)
(3 32 3)
(3 33 3)
(3 34 3)
(3 35 3)
(3 36 3)
(3 37 3)
(3 38 3)
(3 39 3)
(3 40 3)
(3 41 3)
(3 42 3)
(3 43 3)
(3 44 3)
(3 45 3)
(3 46 3)
(3 47 3)
(3 48 3)
(3 49 3)
(3 50 3)
(3 51 3)
(3 52 3)
(3 53 3)
(3 54 3)
(3 55 3)
(3 56 3)
(3 57 3)
(3 58 3)
(3 59 3)
(3 60 3)
(3 61 3)
(3 62 4)
(3 63 3)
(3 64 3)
(3 65 9)
(4 0 5)
(4 1 5)
(4 2 5)
(4 3 5)
(4 4 5)
(4 5 5)
(4 6 5)
(4 7 5)
(4 8 5)
(4 9 5)
(4 10 5)
(4 11 5)
(4 12 5)
(4 13 5)
(4 14 5)
(4 15 5)
(4 16 5)
(4 17 5)
(4 18 5)
(4 19 5)
(4 20 5)
(4 21 5)
(4 22 5)
(4 23 5)
(4 24 5)
(4 25 5)
(4 26 5)
(4 27 5)
(4 28 5)
(4 29 5)
(4 30 5)
(4 31 5)
(4 32 5)
(4 33 5)
(4 34 5)
(4 35 5)
(4 36 5)
(4 37 5)
(4 38 5)
(4 39 5)
(4 40 5)
(4 41 5)
(4 42 5)
(4 43 5)
(4 44 5)
(4 45 5)
(4 46 5)
(4 47 5)
(4 48 5)
(4 49 5)
(4 50 5)
(4 51 5)
(4 52 9)
(4 53 9)
(4 54 9)
(4 55 9)
(4 56 9)
(4 57 9)
(4 58 9)
(4 59 9)
(4 60 9)
(4 61 9)
(4 62 9)
(4 63 9)
(4 64 9)
(4 65 9)
(5 0 6)
(5 1 6)
(5 2 6)
(5 3 6)
(5 4 6)
(5 5 6)
(5 6 6)
(5 7 6)
(5 8 6)
(5 9 6)
(5 10 6)
(5 11 6)
(5 12 6)
(5 13 6)
(5 14 6)
(5 15 6)
(5 16 6)
(5 17 6)
(5 18 6)
(5 19 6)
(5 20 6)
(5 21 6)
(5 22 6)
(5 23 6)
(5 24 6)
(5 25 6)
(5 26 6)
(5 27 6)
(5 28 6)
(5 29 6)
(5 30 6)
(5 31 6)
(5 32 6)
(5 33 6)
(5 34 6)
(5 35 6)
(5 36 6)
(5 37 6)
(5 38 6)
(5 39 6)
(5 40 6)
(5 41 6)
(5 42 6)
(5 43 6)
(5 44 6)
(5 45 6)
(5 46 6)
(5 47 6)
(5 48 6)
(5 49 6)
(5 50 6)
(5 51 6)
(5 52 9)
(5 53 9)
(5 54 9)
(5 55 9)
(5 56 9)
(5 57 9)
(5 58 9)
(5 59 9)
(5 60 9)
(5 61 9)
(5 62 9)
(5 63 9)
(5 64 9)
(5 65 9)
(6 0 7)
(6 1 7)
(6 2 7)
(6 3 7)
(6 4 7)
(6 5 7)
(6 6 7)
(6 7 7)
(6 8 7)
(6 9 7)
(6 10 7)
(6 11 7)
(6 12 7)
(6 13 7)
(6 14 7)
(6 15 7)
(6 16 7)
(6 17 7)
(6 18 7)
(6 19 7)
(6 20 7)
(6 21 7)
(6 22 7)
(6 23 7)
(6 24 7)
(6 25 7)
(6 26 7)
(6 27 7)
(6 28 7)
(6 29 7)
(6 30 7)
(6 31 7)
(6 32 7)
(6 33 7)
(6 34 7)
(6 35 7)
(6 36 7)
(6 37 7)
(6 38 7)
(6 39 7)
(6 40 7)
(6 41 7)
(6 42 7)
(6 43 7)
(6 44 7)
(6 45 7)
(6 46 7)
(6 47 7)
(6 48 7)
(6 49 7)
(6 50 7)
(6 51 7)
(6 52 9)
(6 53 9)
(6 54 9)
(6 55 9)
(6 56 9)
(6 57 9)
(6 58 9)
(6 59 9)
(6 60 9)
(6 61 9)
(6 62 9)
(6 63 9)
(6 64 9)
(6 65 9)
(7 0 8)
(7 1 8)
(7 2 8)
(7 3 8)
(7 4 8)
(7 5 8)
(7 6 8)
(7 7 8)
(7 8 8)
(7 9 8)
(7 10 8)
(7 11 8)
(7 12 8)
(7 13 8)
(7 14 8)
(7 15 8)
(7 16 8)
(7 17 8)
(7 18 8)
(7 19 8)
(7 20 8)
(7 21 8)
(7 22 8)
(7 23 8)
(7 24 8)
(7 25 8)
(7 26 8)
(7 27 8)
(7 28 8)
(7 29 8)
(7 30 8)
(7 31 8)
(7 32 8)
(7 33 8)
(7 34 8)
(7 35 8)
(7 36 8)
(7 37 8)
(7 38 8)
(7 39 8)
(7 40 8)
(7 41 8)
(7 42 8)
(7 43 8)
(7 44 8)
(7 45 8)
(7 46 8)
(7 47 8)
(7 48 8)
(7 49 8)
(7 50 8)
(7 51 8)
(7 52 9)
(7 53 9)
(7 54 9)
(7 55 9)
(7 56 9)
(7 57 9)
(7 58 9)
(7 59 9)
(7 60 9)
(7 61 9)
(7 62 9)
(7 63 9)
(7 64 9)
(7 65 9)
(8 0 9)
(8 1 9)
(8 2 9)
(8 3 9)
(8 4 9)
(8 5 9)
(8 6 9)
(8 7 9)
(8 8 9)
(8 9 9)
(8 10 9)
(8 11 9)
(8 12 9)
(8 13 9)
(8 14 9)
(8 15 9)
(8 16 9)
(8 17 9)
(8 18 9)
(8 19 9)
(8 20 9)
(8 21 9)
(8 22 9)
(8 23 9)
(8 24 9)
(8 25 9)
(8 26 9)
(8 27 9)
(8 28 9)
(8 29 9)
(8 30 9)
(8 31 9)
(8 32 9)
(8 33 9)
(8 34 9)
(8 35 9)
(8 36 9)
(8 37 9)
(8 38 9)
(8 39 9)
(8 40 9)
(8 41 9)
(8 42 9)
(8 43 9)
(8 44 9)
(8 45 9)
(8 46 9)
(8 47 9)
(8 48 9)
(8 49 9)
(8 50 9)
(8 51 9)
(8 52 9)
(8 53 9)
(8 54 9)
(8 55 9)
(8 56 9)
(8 57 9)
(8 58 9)
(8 59 9)
(8 60 9)
(8 61 9)
(8 62 9)
(8 63 9)
(8 64 9)
(8 65 9)
a.b.c@d.w3c
jsmith
jsmith@olympus
jsmith@olympus.gov
_jsmith-example.olympus@states.us
jsmith.edu
john@mail.office
ComputerScienceDepartment@csupomona.edu
